,Product,Price,Original Price,Discount,Rating,Rating & reviews,Category,Sub category,brand
134,TRUE INDIAN New gym bag combo for gym bag gym shaker bo...,₹599,₹999,40% off,3.7,(12),"Sports, Fitness, and Outdoor",Sports Equipment,TRUE
135,CF SPORTS Active Smart Double Spring Tummy Trimmer_Tumm...,₹299,₹899,66% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,CF
136,CF SPORTS Double Spring Tommy Trimmer_Tummy Trimmer_250...,₹299,₹949,68% off,4,(3),"Sports, Fitness, and Outdoor",Sports Equipment,CF
137,CF SPORTS ab-270 Ab Exerciser,₹399,₹699,42% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,CF
138,CF SPORTS Abs Roller With 4 Wheels Exercise Equipment F...,₹349,"₹1,299",73% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,CF
139,"Bhatia Sports Air bike exercise cycle, Dual action card...","₹11,604","₹28,990",59% off,3,(8),"Sports, Fitness, and Outdoor",Sports Equipment,Bhatia
140,DCS Pro 40 kg 40kg FITNESS KIT + 5Ft.Straight + 3ft.Ben...,"₹3,699","₹5,999",38% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,DCS
141,TRUE INDIAN New gym bag combo for gym bag gym shaker bo...,₹599,₹999,40% off,3.7,(12),"Sports, Fitness, and Outdoor",Sports Equipment,TRUE
142,COOL INDIANS GYM Protein Shaker Bottle With Wrist Suppo...,₹345,₹699,50% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,COOL
143,COOL INDIANS Gym Bag Combo With Shaker Bottle With Wris...,₹664,"₹1,699",60% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,COOL
144,TRUE INDIAN Premium Protein Shaker Bottle with Wrist Su...,₹329,₹699,52% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,TRUE
145,TRUE INDIAN Premium Protein Shaker Bottle with Wrist Su...,₹329,₹699,52% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,TRUE
146,TRUE INDIAN Premium Protein Shaker Bottle with Wrist Su...,₹329,₹699,52% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,TRUE
147,TRUE INDIAN New gym bag combo for gym bag gym shaker si...,₹699,₹999,30% off,2.8,(6),"Sports, Fitness, and Outdoor",Sports Equipment,TRUE
148,TRUE INDIAN Premium Protein Shaker Bottle with Wrist Su...,₹329,₹699,52% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,TRUE
149,OSPO SPORTS Abs Roller Ab Exerciser,₹229,₹400,42% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,OSPO
150,"CF SPORTS AB WHEEL/ROLLER, TUMMY TEIMMER ALL ABS EXERCI...",₹427,₹999,57% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,CF
151,CF SPORTS Affective Tummy Trimmer with Double Spring Bu...,₹292,₹899,67% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,CF
152,CF SPORTS Double Spring Tummy Trimmer Waist Trimmer-Abs...,₹297,₹999,70% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,CF
153,Bhatia Sports Upright cycle | Exercise bike | FITNESS E...,"₹24,271","₹45,990",47% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,Bhatia
154,DCS Pro 30 kg FITNESS 30kg PVC GYM SET + 3ft. Straight ...,"₹2,900","₹4,999",41% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,DCS
155,TRUE INDIAN Amazing Quality Combo of Gym Protein Shaker...,₹349,₹699,50% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,TRUE
156,COOL INDIANS GYM Protein Shaker Bottle With Wrist Suppo...,₹345,₹699,50% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,COOL
157,TRUE INDIAN Amazing Quality Combo of Gym Protein Shaker...,₹349,₹699,50% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,TRUE
158,COOL INDIANS GYM Protein Shaker Bottle With Wrist Suppo...,₹345,₹699,50% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,COOL
159,Gourav Black skipping rope plastic hand grip New Fitnes...,₹199,₹350,43% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,Gourav
160,Monika Sports LAT and Lift Pulley System with Loading P...,"₹1,150","₹1,600",28% off,3.8,(79),"Sports, Fitness, and Outdoor",Sports Equipment,Monika
161,M A sports Triceps Rope Handle For Gym | Multi Workout ...,₹379,₹699,45% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,M
162,HK Sports Dotted Rubber Tennikoit Ring || Skipping Rope...,₹241,₹599,59% off,4.2,(16),"Sports, Fitness, and Outdoor",Sports Equipment,HK
163,FY Sports UNISEX TUMMY TWISTER WEIGHT REDUCE & SLIM SHA...,₹299,₹999,70% off,3.3,(4),"Sports, Fitness, and Outdoor",Sports Equipment,FY
164,CF SPORTS Tummy Trimmer Pro Ab Exerciser/ home workout ...,₹340,₹999,65% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,CF
165,CF SPORTS Tummy Trimmer Multipurpose Fitness Equipment ...,₹340,₹999,65% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,CF
