,Product,Price,Original Price,Discount,Rating,Rating & reviews,Category,Sub category,brand
167,"Boult Y1 with Zen ENC Mic, 50H Battery, Fast Charging, ...",₹999,"₹5,499",81% off,4,"(4,28,027)",Electronics,Headphones,Boult
168,"boAt Rockerz 210 ANC w/ 30dB Active Noise Cancellation,...","₹1,499","₹5,990",74% off,4.2,"(2,634)",Electronics,Headphones,boAt
169,"Aroma NB140 Power 50 Hours* Playtime, Dual Pairing True...",₹449,"₹1,999",77% off,3.5,"(8,903)",Electronics,Headphones,Aroma
170,"moto buds with Hi-Res Audio, Large 12.4mm driver, 42 hr...","₹1,999","₹7,999",75% off,4.1,"(4,098)",Electronics,Headphones,moto
171,"boAt Airdopes 161 Pro-Buds w/ ASAP Charge, Multi-Point ...","₹1,199","₹4,490",73% off,3.8,"(94,856)",Electronics,Headphones,boAt
172,"boAt Airdopes 181 Pro w/ 100 HRS Playback, 4 Mics ENx T...","₹1,199","₹4,990",75% off,4,"(22,057)",Electronics,Headphones,boAt
173,"boAt Airdopes 161 Pro-Buds w/ ASAP Charge, Multi-Point ...","₹1,199","₹4,490",73% off,3.8,"(94,856)",Electronics,Headphones,boAt
174,"Boult Z60 with 60Hr Battery, Quad Mic ENC, 50ms Ultra L...",₹999,"₹2,999",66% off,4.1,"(36,690)",Electronics,Headphones,Boult
175,"ZEBRONICS ZEB-BRO, With In-Line MiC, 3.5mm Jack, 10mm d...",₹159,₹399,60% off,3.7,"(90,010)",Electronics,Headphones,ZEBRONICS
176,"Boult Curve Max with 100H Playtime, ENC Mic, Dual Devic...",₹899,"₹5,499",83% off,3.8,"(2,590)",Electronics,Headphones,Boult
177,"TRIGGR Kraken X1 with Battery Display, 40ms Latency, Qu...",₹799,"₹3,999",80% off,4,"(48,663)",Electronics,Headphones,TRIGGR
178,"Boult Z40 Pro with 100H Battery, Quad Mic ENC, Scratch ...","₹1,199","₹5,499",78% off,4.1,"(95,464)",Electronics,Headphones,Boult
179,boAt Airdopes 131 with upto 60 hours and ASAP Charge Bl...,₹899,"₹2,990",69% off,4,"(18,96,429)",Electronics,Headphones,boAt
180,"moto buds with Hi-Res Audio, Large 12.4mm driver, 42 hr...","₹1,999","₹7,999",75% off,4.1,"(4,098)",Electronics,Headphones,moto
